country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ANNEXI,UNFCCC_AI,Agriculture,Aggregate GHGs,1706.836557,1651.321261,1611.846174,1597.065972,1564.651855,1540.215059,1530.292559,1501.723369,1488.658844,1471.068123,1459.07339,1458.235299,1450.147767,1438.039367,1442.875128,1435.017473,1424.253064,1440.755407,1431.322709,1420.93252,1416.812226,1421.946478,1419.056087,1457.916195,1468.711535,1468.221105,1475.226236,1496.590619,1514.067108,1493.625887,1481.789573,1416.969419
ANNEXI,UNFCCC_AI,Agriculture,CH4,931.0416662,915.0110358,899.6766986,888.4170048,882.2725917,870.5779785,859.9516089,838.8879636,829.9113801,821.1631595,817.5742454,808.2887801,804.1973243,796.2896667,786.5944858,791.3934836,784.8146423,791.914733,778.5009813,773.571001,769.6893577,764.7509473,769.6661862,767.2009406,767.2008881,773.7928953,780.5337134,789.4661429,793.7539387,787.5293749,786.9116801,730.1537957
ANNEXI,UNFCCC_AI,Agriculture,CO2,41.67411332,36.66272299,33.29678609,30.24402048,26.88256484,26.80954204,25.26498126,25.54770782,26.01289166,25.86550738,26.11716067,26.02572138,26.74419607,27.04643984,26.17484578,26.79260155,26.14868008,27.01233278,27.31898614,25.70025886,27.56720082,27.32326673,30.40175278,28.91957158,29.31964053,29.38994222,29.73066701,29.98153564,29.10595643,28.53487072,30.94378956,27.77320664
ANNEXI,UNFCCC_AI,Agriculture,N2O,734.1207772,699.6475025,678.8726891,678.4049468,655.4966985,642.8275385,645.0759693,637.2876977,632.7345718,624.0394561,615.3819835,623.920798,619.206247,614.70326,630.1057965,616.8313882,613.2897417,621.828341,625.5027414,621.6612599,619.5556673,629.8722635,618.9881481,661.7956832,672.1910063,665.0382671,664.9618554,677.142941,691.2072132,677.5616413,663.9341029,659.0424162
ANNEXI,UNFCCC_AI,Energy,Aggregate GHGs,15222.33194,14955.8508,14477.48713,14323.50415,14108.73134,14164.16638,14463.13045,14348.67629,14342.48858,14378.5704,14602.07483,14620.36328,14638.75329,14878.16782,14982.70304,15029.49213,15013.52149,15119.38333,14797.62514,13880.53542,14296.21733,14128.61137,13927.4974,13899.31389,13667.36745,13492.74537,13324.91446,13335.45367,13445.53462,13101.45204,11981.27154,12210.26725
ANNEXI,UNFCCC_AI,Energy,CH4,1115.758111,1080.472391,1050.157827,1014.888121,977.4568165,961.4464276,956.426919,954.8743439,931.2907796,921.2572796,902.6545897,895.5885847,867.5577848,874.1968595,872.0015668,864.7172808,873.7160388,866.8785657,876.1534429,830.3286585,840.770136,826.97924,809.4714003,804.9287576,787.3336187,762.8080785,729.1642343,738.3219118,751.6999831,739.0815297,693.2676791,661.962653
ANNEXI,UNFCCC_AI,Energy,CO2,13980.85502,13750.12043,13301.49069,13180.91244,13001.55803,13068.87804,13370.16764,13255.39303,13271.83256,13320.4301,13563.19968,13590.80391,13638.88294,13871.36402,13978.95165,14036.41977,14011.43559,14126.37597,13798.64823,12934.39435,13339.00087,13187.96857,13010.8884,12987.61743,12775.25333,12628.54981,12496.66873,12499.44025,12597.92351,12269.38146,11202.3586,11461.71683
ANNEXI,UNFCCC_AI,Energy,N2O,125.7188082,125.2579707,125.8386096,127.7035894,129.7164904,133.8419126,136.5358877,138.408916,139.3652323,136.8830177,136.2205555,133.9707778,132.3125631,132.6069488,131.7498224,128.3550763,128.369869,126.128795,122.8234652,115.8124177,116.4463232,113.6635629,107.1376073,106.7677058,104.7805035,101.387483,99.08149357,97.69150423,95.9111283,92.98904965,85.64526251,86.5877615
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,Aggregate F-gases,269.8188174,263.3833876,255.2125972,248.3428724,255.5295919,286.3263653,298.1390467,311.1114039,324.8218315,307.3762689,307.9153547,287.2743249,288.3478417,280.0027856,292.0482335,302.7566798,310.8397522,327.2296541,336.0919461,324.2181838,342.5986614,354.1352939,370.468746,380.9112009,390.2510279,386.5457819,394.0307032,406.6871707,413.559675,411.2021828,411.9772965,403.5820063
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,Aggregate GHGs,1509.451996,1421.077583,1370.927475,1311.245612,1320.129982,1373.805064,1373.520536,1389.093735,1349.313877,1320.291768,1349.9865,1288.287427,1287.934834,1302.268141,1356.506037,1358.269176,1390.005262,1429.433892,1367.161916,1174.063185,1270.599433,1304.039751,1302.721087,1308.556623,1318.276807,1295.530005,1295.353669,1317.880451,1330.432517,1311.26705,1292.711105,1301.222945
